"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V129.1"
"367";-1.2108025;-0.0031952398;-0.17762698;-0.63024766;-0.71305594;-0.70707266;-1.4801569;-0.72127359;-1.1877943;-0.71104121;-0.28420638;0.015752246;-0.13721014;-0.57966807;-0.83371871;-0.85997887;0.16844611;-0.81613245;-1.1167711;-0.71465884;0.18379046;-0.21860856;-0.49627086;-0.26859429;-0.18843831;-0.45510601;-0.44313758;-0.0082513389;0.25401602;0.36158028;-0.59967727;0.025451269;0.10733288;0.33495187;1.4167105;0.15889373;0.41356454;0.47239163;0.51934122;0.63015045;0.031081228;-0.34679147;0.26547229;0.9429986;0.3951628;0.23186642;0.87278761;0.54098041;0.46623293;0.82837518;0.90943499;0.75813124;1.4091534;1.1849244;0.92709062;1.2955606;1.2304596;1.3277447;1.2224141;1.1899063;1.7501255;1.2789883;1.1095008;1.0633561;0.86976477;1.0748678;1.5864112;1.458136;2.530397;1.8554451;1.547859;2.1051891;2.2370515;1.3137915;1.750785;1.9167758;1.8838618;2.28467;2.4423975;-0.72257445;-0.44058322;-1.1486185;-0.52709219;-0.50240671;-1.1616251;0.2768728;-1.2407238;-0.91393595;-0.81703486;-1.103457;-0.38477648;-0.55633323;-0.22173275;-1.1588768;-0.42001657;-0.54374427;-1.0794436;-1.0021471;-0.52774478;-0.071995404;-1.1194988;-0.25432301;-0.44745706;-1.0378019;-1.1335571;-0.12385795;-0.72740289;-1.3392835;-0.79791183;-0.71537568;-1.0584711;-0.63503741;-1.4025624;-0.40510693;-0.92706985;-0.88955709;-0.3468197;-0.61064923;-1.28406;-0.85997766;-1.1298764;-1.2336437;-0.65741141;-0.33505818;-0.65324248;-0.81911881;-1.3276662;-0.7022491;2
"323";-0.081701668;-1.0221688;-0.88537408;-1.2133195;-0.59138821;-0.33179148;-0.85318793;-0.18720052;0.29720105;-0.086034137;-0.99932182;-1.1805229;0.33716055;0.058645193;-1.2531333;-0.20335583;-0.41981626;-0.27364249;-0.57128875;0.20060046;-1.0328373;0.37747255;-0.33569657;-0.4501234;0.12927979;-0.56341465;0.027413752;0.29229272;-1.1367506;-0.68376295;-1.0209294;0.45316622;-0.56330093;0.18121825;-0.0084713505;-0.16656523;-0.11564456;-0.37445321;0.45534488;0.58646149;0.15111221;0.52452574;0.072539513;0.71471907;0.17591425;0.50965446;-0.10124382;0.43458443;1.0297827;1.0372216;0.13174583;1.5977336;1.707112;1.2787122;1.4768877;1.9246543;1.4935863;1.5653694;1.7518606;1.2931775;1.9314881;0.97035249;0.70779294;2.6074221;2.6813201;1.1210521;1.028663;2.3136791;2.3770039;1.9437995;1.8967898;2.5869168;2.5221589;-0.85278093;0.053889232;-0.74312076;-0.18016629;-0.0026144061;-1.7891224;-1.2810599;-1.0332427;0.49572676;-0.81107557;-0.78929565;-0.0061263665;-0.29038959;-0.15221245;0.35116096;-1.356764;-0.61763077;-0.77380782;-0.80975562;-1.2416546;0.5784385;-1.290745;0.11542854;-0.0019702477;-0.087167685;-1.4671862;-1.2868138;-0.75169008;0.0075854155;-0.42932015;-0.77964113;-0.94394249;-0.92375129;-0.92973389;-0.42781328;-0.95701735;-0.045404392;-1.1391116;-0.57629306;-0.83986477;-1.2839839;-0.49417991;-0.42527966;-0.094075829;-0.29365098;-0.15741549;-0.27281604;-0.32108872;-1.0029042;-0.30471596;-1.1723889;0.012324399;0.0090176139;-0.79050018;0.3485673;2
"112";-0.69525023;-1.1173926;-1.5312045;-0.61135447;-0.91809088;-0.87806666;-1.2826545;-0.79178764;-1.7787479;-0.70702232;-1.0602752;-1.5786065;-1.4546128;-0.99310509;-0.98875477;-1.383062;-1.2053508;1.3180945;0.71991905;0.87888682;1.1250662;1.1565695;0.91268557;0.3480529;0.33922872;1.0061404;0.63146073;1.0499151;0.42356476;1.0162827;1.0706289;0.99043917;0.54273495;0.75678526;1.0103841;0.35734201;0.64296976;0.52208125;1.1904415;1.4241503;1.0962243;0.62803313;0.94191944;0.7965517;0.59416927;0.97944225;0.90364676;0.50426586;0.64884837;0.77908298;1.0787933;0.46719597;0.67635137;0.71354063;1.1843848;1.4346394;1.3270758;1.1613728;0.97339946;0.89074565;0.38641743;0.73397536;0.86161313;0.94177872;0.54438482;0.65479386;1.0477462;0.48642967;0.61916868;0.95547409;1.3616453;0.53021728;1.0693997;0.61205241;0.7676216;0.67485038;1.2729785;1.1442515;0.19182769;0.7523845;1.0462615;0.36822196;0.80196039;0.73161524;1.0270514;0.58850305;0.89402642;0.70074859;0.41402238;0.74487893;-1.2069111;-1.1534211;-1.1565553;-1.5702578;-0.70810124;-0.63422813;-1.1004004;-1.2966467;-0.99107597;-1.1884675;-1.0388875;-1.6246959;-0.51771094;-0.95454391;-0.82967618;-0.54602233;-1.72327;-1.2987252;-1.0031378;-0.89013199;-1.2375138;-0.96390188;-1.4539316;-1.1207089;-1.1567126;-0.75223314;-1.2311552;-1.3493225;-1.3465813;-0.97018865;-1.2994241;-0.54447481;-0.87521123;-0.95671165;-1.1084032;-0.95828385;-0.62795023;-1.7788937;1
"586";-1.1209212;-0.78262181;-0.9237221;-1.5170519;-1.5782621;-1.5917136;-1.2992503;-0.76622898;-1.4111106;-1.2225323;-0.97478281;-1.1148259;-1.3770447;-1.8514601;-0.88700233;-1.2172655;-1.115458;-1.4053502;-1.1704391;-0.81787825;-0.69409485;-1.1549611;0.3539672;1.0346435;0.41159544;1.2986202;0.57361241;0.83463559;0.95606937;0.87830992;0.2284903;0.5679651;0.62454423;0.89996444;0.87631234;0.75340968;0.62651189;0.95552343;0.99387187;0.90735995;0.21780916;1.0064925;0.61294112;0.80892519;0.5762343;0.62746879;0.11501807;1.1431594;0.56816076;0.5174619;1.0388649;1.0840245;1.1993489;0.77771345;0.49236003;0.25891683;1.2162562;0.34152098;0.5176949;0.83145351;0.83711904;0.67947916;0.58748508;0.63968069;0.73464534;0.78453767;0.52719496;0.7790335;1.2599688;0.72935492;1.0773928;0.68451105;0.72101011;0.78717878;0.8945617;0.58931841;0.63551261;0.9167162;0.62425069;0.79627432;0.86448671;0.99878083;0.64908202;0.87048516;1.0520629;1.1329975;0.48404644;1.5422425;1.2670906;0.51446747;0.60091338;0.4829418;1.3660453;0.47575506;0.91990313;0.55516293;0.74433843;0.37739903;0.68032589;0.95858528;-0.96288609;-1.3769105;-1.3790723;-1.9504144;-1.5144303;-0.51277818;-1.3438871;-0.99388365;-1.2116188;-1.4171218;-1.1126873;-1.3964935;-1.2058256;-1.1880864;-1.6197988;-1.4110336;-0.83382463;-1.1423544;-1.0209797;-0.51223062;-1.0410749;-1.5039663;-1.0308871;-1.1477359;-1.2988857;-1.0809588;-1.0918734;-1.253893;1
"552";-0.40900712;0.11650603;-0.042610794;0.73245794;-0.83234886;-0.52974574;-1.4420021;0.0077514203;-0.59175849;-0.14920355;-0.43286885;-0.6795802;-0.82100461;-0.48229813;-0.69167217;-0.77389919;-1.1389545;-0.36766187;-0.36634284;-1.3919379;-1.018183;-0.58674167;-0.39603691;-0.89886209;0.14029684;-0.32485082;-0.009179925;-0.31300872;0.31130788;-0.38115622;0.52159326;0.33584602;-0.087766148;0.051987673;-0.20582591;-0.70140266;0.31923615;-0.30483339;-0.19814538;-0.52334288;0.74812384;0.68601209;0.49426008;0.37619247;0.5352213;0.07757884;0.76353917;0.99378494;0.7332476;0.80424418;0.83536226;0.39423434;1.2665379;0.097301112;1.443674;0.88092997;1.3446827;1.2408783;1.1491781;2.0454588;1.942915;1.4867243;1.8098184;0.38928483;0.61822273;1.6707967;1.857515;2.431606;1.8000575;1.3185034;2.052461;1.2219083;2.758001;1.8339863;2.2197619;2.0452811;1.6157789;2.156386;-0.90744283;-0.66183794;-0.94808179;-0.79011771;-0.90525174;0.09716377;-1.1688318;-0.72371845;-0.21190305;0.43256087;-1.0235259;-0.027794796;-0.23139582;-0.94544352;-0.44809922;-1.1923821;-0.55130963;0.070063265;-0.81172536;-0.57852283;-0.19954794;-1.1103415;-1.4261717;-0.9696003;-0.56523242;-1.1822867;0.054387033;-1.0331871;-0.60721891;-0.67847961;-0.1801664;-0.90454146;-0.43965047;0.13362615;-0.84894176;0.046300258;-0.56828662;-1.1879573;-0.26624432;-1.0385406;-1.5416824;0.12138024;-0.80975146;-1.0287564;-1.0077786;-1.2282894;-0.32141079;-1.4050687;-0.59968191;-1.2634834;2
"162";-1.3136664;-1.2802353;-0.91205559;-1.5017384;-1.5058153;-1.8042495;-1.6570358;-1.4601046;-1.0538077;-1.2568304;-0.71206225;-1.0711466;-1.6152158;-1.1411317;-1.1365505;-1.6078148;-1.453034;-1.5381578;-1.5419855;0.062057753;0.20631772;0.25128914;0.33126191;0.8314442;1.0432057;0.26649886;0.28460193;0.22430162;0.085128982;0.43191931;0.81259257;0.77489982;0.89375938;0.38796653;0.14546897;0.80157086;0.76426337;0.72151828;0.30417457;0.088073307;1.1268115;0.41064575;0.26630785;0.80554351;0.81348168;0.57380521;0.67759066;0.4499728;0.056711013;0.57747017;0.97858114;0.48515121;0.39443908;0.99336484;0.36637265;0.34185452;0.4284661;0.064653483;0.56428484;1.473636;0.67473363;0.90316663;0.75203352;1.3598473;1.1543771;0.58106693;0.55950163;0.84543116;0.51869461;0.51800529;0.97223858;0.25968156;1.0027586;0.42001668;0.33912765;0.29966431;0.25187975;0.84984901;0.6083642;0.97571502;0.67160114;0.2478466;0.57199802;1.1587815;0.61989196;0.46635721;0.91668303;0.88042559;1.2585643;0.58277961;0.6587347;0.49078996;0.0097389304;1.0751849;1.2885091;0.90063157;0.67209406;0.33592283;0.47325267;0.74712841;0.53748574;0.47313143;0.66696516;1.2630657;1.06725;1.2831214;0.70808946;-1.4417603;-0.82833896;-1.1375918;-1.7814359;-0.89101624;-1.4354627;-1.3257321;-1.0184567;-2.3069377;-1.6257207;-2.0916595;-1.3178452;-1.6495455;-1.7321505;-1.6530217;-1.6856878;-1.7457492;-0.94048059;-0.66618973;-1.4296865;-1.1665297;1
"10";-1.1864222;-0.89319697;-0.97773692;-0.63410927;-1.3848198;-1.2719261;-1.2121711;-1.4527917;-0.93441701;-1.1184247;-1.2555297;-0.55306942;-0.84833881;-0.59113391;-0.95791379;-1.1294229;-0.9333856;-0.58903566;-0.58371528;-1.1014271;0.95476609;0.4677592;0.70443666;0.57508016;0.7102151;0.91155929;1.2105112;0.36599212;0.90830843;0.87728523;1.1673055;0.63502291;0.69802271;1.0381243;1.241403;1.1632207;1.5124796;0.81784859;0.66386613;1.7044564;0.75935581;0.7499706;0.83270427;1.2227109;0.90232881;1.1781278;0.54886681;0.56644203;0.76870242;1.0623493;0.18623487;-0.11948312;0.95585314;0.51158409;1.462712;1.1588606;0.75850279;0.45966952;0.98474029;0.80175065;1.7173295;0.9307224;1.0411007;1.4962874;1.2666155;0.73145943;1.0237892;0.93556412;0.39382371;1.1901373;0.85285641;0.89362806;0.35903731;0.35618625;0.86502129;0.74456223;1.5008393;1.4479109;0.49838391;0.43684546;0.93109738;0.90552032;0.55607449;0.9899975;0.8946919;1.5009818;0.7706914;0.75863546;-1.1436141;-1.0805613;-0.95205716;-1.2515097;-0.91261756;-1.0911168;-0.82779204;-1.0440469;-0.65014;-1.0914775;-0.31658968;-0.431276;-0.77623122;-1.2922831;-1.4572163;-1.0416015;-1.1288245;-0.77138566;-0.91691058;-0.61768064;-0.33805487;-0.79184475;-1.0550173;-1.5572912;-1.3470454;-1.4064534;-1.2348963;-1.1200534;-0.72825908;-1.1416243;-0.85689341;-1.217625;-0.82365374;-1.2804516;-1.589396;-0.99829383;-0.81079982;-0.98159057;-1.2784443;-1.1078289;1
"377";-0.93760112;-1.1099492;-1.4501305;-1.0719706;-0.37681895;-0.60382304;-1.7450101;-1.5193353;-0.95944753;-1.5067486;-0.7124119;-0.57746007;-1.5639836;-0.97137557;-0.81590225;-2.062691;-0.50630756;-0.60147893;-1.444194;-0.87913301;-0.19728257;-0.9111201;-1.2745974;1.9480886;1.5111561;1.8124594;2.2890959;1.5430987;1.9761732;2.0025123;1.1181563;1.1800503;1.0396251;0.73190263;1.2499025;1.0259751;1.109529;1.5964599;1.4595048;0.74606293;0.94734284;0.815398;0.42679656;1.2025614;0.77925049;2.1947787;1.0611288;1.2106639;0.30427379;0.23422755;1.2642715;0.7921645;1.1291618;0.69209311;0.3676093;0.86924515;0.80079568;0.50547024;1.1253731;1.3100886;0.55128457;1.0078787;0.29972268;0.45870341;0.56656157;-0.070268898;1.2378055;0.45170083;0.026135925;1.0154247;0.48108955;-0.46410416;0.1904634;0.56771107;0.51772374;0.025272189;1.3230505;0.82035971;0.43872767;0.57938991;0.38700803;0.33048866;-0.72311351;-0.13373636;0.64095583;-0.052077979;-0.47527668;-0.48068013;-0.76604641;-0.25510594;-0.6802224;-0.56878506;0.48255811;-0.21762139;-0.84742676;0.12988421;-0.62637813;-0.43764924;-1.3021452;-0.56834291;-0.70330722;-0.51549481;-0.99737312;-0.48869868;-0.8226991;-0.97414437;-0.087041078;-0.58239341;0.027060975;-0.14322924;-0.44888105;-0.24767076;-0.49211695;-1.9234203;-1.1529566;-0.6599326;-1.4313178;-0.82866611;-1.2398226;-1.1003129;-0.67441858;-1.2181927;-0.94060898;-1.5512599;-1.0823778;-0.95763609;-0.30064725;-0.89703515;3
"557";-0.35360353;-0.20666902;-0.32380217;-0.76375245;-1.7287546;-1.2560686;-1.1658509;-0.59168621;-0.9239626;-0.5232321;-1.1435041;-0.97682813;-1.1430796;-0.85638626;-1.1477314;-1.080704;-0.99425836;-1.3619485;-0.65680723;-1.0749433;-0.083370626;-0.89425;-0.88138047;-0.9852237;-0.49683007;-0.86232739;-1.1826377;-0.8659465;2.4347186;1.0982262;1.2744238;2.0460615;2.0537435;1.8571467;1.7335298;1.6381168;1.5056171;1.1151582;1.1609542;1.5382051;0.83318068;1.6248291;0.83759114;1.9005543;2.0075913;1.6278775;0.88234927;2.492945;1.1211493;0.93892701;0.77112575;0.99679915;0.73662684;1.4041181;1.1244983;0.62176971;0.025956986;1.0247824;1.5368826;0.56559301;1.2633307;0.51044094;0.55084971;0.62001445;0.15804057;-0.035187943;0.7240988;0.84887506;0.45405865;-0.24331294;1.045307;0.7870404;0.43148294;0.59947943;0.11712932;0.067230567;0.15933527;1.1262139;0.032651596;-0.010851581;-0.13449424;-0.11468968;-0.10093125;0.20134201;0.48055598;0.36296368;-0.55814009;0.40273693;-0.12756833;-1.1803601;-0.86044409;0.61412813;0.067801305;-0.72273453;-0.7630226;-0.63391709;-0.91434906;-0.22551404;-0.16395818;-1.0958458;-0.49692658;-0.3474749;-0.68805261;-1.1582014;-0.50766929;-1.3442714;-1.1232626;-0.22211472;-0.87150859;-0.7840747;-0.52507062;-0.96371036;-0.68030241;-1.1595869;-0.44288799;-0.70206092;-0.13426276;-1.5000548;-0.82626523;-0.33197619;-1.3382734;-1.1794089;-0.81450332;-0.60082967;-1.310386;-0.46300567;-0.77121121;-0.45794195;3
"843";-0.7952465;-1.4174228;0.064224458;-0.93608123;0.39744031;-0.10253971;-0.57429601;-0.37137463;-0.76970816;-0.58240919;-0.42879855;-0.85437652;-0.45836886;-0.17157348;0.30696764;-0.69729946;-0.46963922;0.15675006;-0.25799783;-1.0115409;-0.45036744;0.13231745;-0.54671976;0.14804561;-0.36750943;-0.90853397;-0.81103187;-1.0968069;-0.48583068;-0.83634234;-1.2154094;-1.0705614;-0.1629978;-0.38077379;-0.51538525;-0.3521505;0.22535691;0.29287097;-0.7688128;-0.096248324;-0.64285629;-0.15831766;0.29420878;0.82625679;0.79289022;0.95275175;0.0029777394;0.54153608;0.21265869;0.94162803;-0.49506413;0.63048213;0.44810149;-0.085469749;-0.014600219;0.87317162;0.075485704;0.73532468;1.3530012;1.1661526;0.29709557;0.4294945;1.6851993;1.0151254;0.76469911;1.0880401;1.6196164;1.3788145;0.64794056;1.5232403;2.1865114;1.298247;1.9325154;1.0568984;1.9203724;1.6911993;1.713126;1.9241091;2.1334951;2.0132126;2.2506744;2.0922747;1.54504;1.8876414;1.7092679;2.242913;-1.0000245;-1.2209365;-0.63016739;-1.1912375;-0.16744114;0.23912572;0.13876227;-0.34936002;-1.247512;-0.51938712;-0.96911536;-1.0726142;-0.44097794;-1.5604969;-0.89184943;-0.7257022;-0.8753572;-0.37445407;-0.95236329;-0.42320728;-0.25687483;0.5707257;-1.1280075;-1.1285925;-1.4443739;-0.39473851;-0.14443541;-0.38872132;-1.2377003;-0.48881754;-1.1531382;-0.90386633;-0.12547942;-1.0824208;-0.92135416;-0.98975034;-0.69841354;-1.2808966;-0.1862676;-1.4593524;-0.64198752;-0.53812252;2
